Date,T,TGFC PO,NSI PO,M&D REF,Vendor,Pickup Location,Item Description,Item #,Customer,Delivery Location,P/U Date,Del Date,W/O Pick-Up,Pounds
8/14/26,DLVD,302535,39114,,M&D International,Vendor Delivery,Beef Trim 30%,1438,Northstar Imports,"Chicago, IL",NA,8/24/26,8/24/26,40000.0
8/14/26,DLVD,302536,39115,,M&D International,Vendor Delivery,Beef Trim 30%,1438,Northstar Imports,"Chicago, IL",NA,8/24/26,8/24/26,32240.4
8/14/26,DLVD,302537,39116,,M&D International,Vendor Delivery,Beef Trim 30%,1438,Northstar Imports,"Chicago, IL",NA,8/24/26,8/24/26,31546.0
8/20/26,DLVD,302543,39174,,M&D International,Vendor Delivery,Beef Trim 30%,1438,Northstar Imports,"Chicago, IL",NA,8/28/26,8/24/26,40000.0
8/20/26,DLVD,302544,39175,,M&D International,Vendor Delivery,Beef Trim 30%,1438,Northstar Imports,"Chicago, IL",NA,8/28/26,8/24/26,40000.0
8/20/26,DLVD,302545,39176,,M&D International,Vendor Delivery,Beef Trim 30%,1438,Northstar Imports,"Chicago, IL",NA,8/28/26,8/24/26,33263.4
8/21/26,DLVD,302546,39177,,M&D International,Vendor Delivery,Beef Trim 30%,1438,Northstar Imports,"Chicago, IL",NA,8/31/26,8/24/26,40000.0
8/21/26,DLVD,302547,39178,,M&D International,Vendor Delivery,Beef Trim 30%,1438,Northstar Imports,"Chicago, IL",NA,8/31/26,8/24/26,40000.0
8/21/26,DLVD,302548,39179,,M&D International,Vendor Delivery,Beef Trim 30%,1438,Northstar Imports,"Chicago, IL",NA,8/31/26,8/24/26,40000.0
8/21/26,NA,302549,39170,,M&D International,"Omaha, NE",Beef Trim GO 20-30%,80476,Northstar Imports,CPU,8/27/26,8/28/26,8/24/26,42152.0
8/21/26,NA,302550,39171,,M&D International,"Omaha, NE",Beef Trim GO 20-30%,80476,Northstar Imports,CPU,8/28/26,8/28/26,8/24/26,41444.0
8/21/26,NA,302551,39172,,M&D International,"Omaha, NE",Beef Trim GO 20-30%,80476,Northstar Imports,CPU,8/31/26,9/1/26,8/24/26,40000.0
8/21/26,NA,302552,39173,,M&D International,"Omaha, NE",Beef Trim GO 20-30%,80476,Northstar Imports,CPU,8/31/26,9/1/26,8/24/26,40000.0
8/24/26,DLVD,302554,39180,,M&D International,Vendor Delivery,Beef Trim 30%,1438,Northstar Imports,"Chicago, IL",NA,9/1/26,8/31/26,40000.0
8/24/26,DLVD,302555,39181,,M&D International,Vendor Delivery,Beef Trim 30%,1438,Northstar Imports,"Chicago, IL",NA,9/1/26,8/31/26,40000.0
8/24/26,DLVD,302556,39182,,M&D International,Vendor Delivery,Beef Trim 30%,1438,Northstar Imports,"Chicago, IL",NA,9/1/26,8/31/26,40000.0
8/24/26,DLVD,302557,39183,,M&D International,Vendor Delivery,Beef Trim 30%,1438,Northstar Imports,"Chicago, IL",NA,9/2/26,8/31/26,40000.0
8/24/26,DLVD,302558,39184,,M&D International,Vendor Delivery,Beef Trim 30%,1438,Northstar Imports,"Chicago, IL",NA,9/2/26,8/31/26,40000.0
8/24/26,DLVD,302559,39185,,M&D International,Vendor Delivery,Beef Trim 30%,1438,Northstar Imports,"Chicago, IL",NA,9/2/26,8/31/26,40000.0
8/24/26,DLVD,302560,39186,,M&D International,Vendor Delivery,Beef Trim 30%,1438,Northstar Imports,"Chicago, IL",NA,9/3/26,8/31/26,40000.0
8/24/26,DLVD,302561,39187,,M&D International,Vendor Delivery,Beef Trim 30%,1438,Northstar Imports,"Chicago, IL",NA,9/3/26,8/31/26,40000.0
8/24/26,DLVD,302562,39188,,M&D International,Vendor Delivery,Beef Trim 30%,1438,Northstar Imports,"Chicago, IL",NA,9/3/26,8/31/26,40000.0
8/25/26,DLVD,302571,39189,,M&D International,Vendor Delivery,Beef Trim 30%,1438,Northstar Imports,"Chicago, IL",NA,8/28/26,8/24/26,39133.0
8/25/26,DLVD,302572,39190,,M&D International,Vendor Delivery,Beef Trim 30%,1438,Northstar Imports,"Chicago, IL",NA,8/28/26,8/24/26,40000.0
8/25/26,DLVD,302573,39191,,M&D International,Vendor Delivery,Beef Trim 30%,1438,Northstar Imports,"Chicago, IL",NA,8/31/26,8/31/26,39188.0
8/25/26,DLVD,302574,39192,,M&D International,Vendor Delivery,Beef Trim 30%,1438,Northstar Imports,"Chicago, IL",NA,8/31/26,8/31/26,39268.0
